lband,uband,center,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
1.9,3.0,2.45,0.0,0.0,0.0,0,0,-36374200.0,0,0,313454.0,203595.0
3.0,4.9,3.95,-10935500.0,-7.94382e-07,9.08989e-05,0,0,-60971800.0,0,0,550330.0,357449.0
5.1,10.0,7.55,-263824000.0,-1.91867e-05,0.002193,0,0,-201169000.0,0,0,3593840.0,2328410.0
10.1,14.8,12.45,-104138000.0,-8.22424e-06,0.000891052,0,0,-210080.0,0,0,634184.0,409793.0
15.0,19.9,17.45,-174864000.0,-1.80512e-05,0.00206329,0,0,-850452000.0,0,0,21598300.0,13984000.0
20.0,24.9,22.45,-203915000.0,-2.09982e-05,0.00240001,0,0,-1896260000.0,0,0,20285500.0,13157200.0
25.6,25.6,25.6,-30354400.0,-1.74375e-05,0.00188883,0,0,0.0,0,0,0.0,0.0
28.4,28.4,28.4,0.0,0.0,0.0,0,0,-1874250000.0,0,0,16044100.0,9436400.0
25.1,30.0,27.55,-77134300.0,-1.50827e-05,0.00172379,0,0,-3821020000.0,0,0,34814500.0,22724400.0
30.3,30.3,30.3,0.0,0.0,0.0,0,0,-1058220000.0,0,0,10070500.0,7176960.0
30.4,30.4,30.4,213752000.0,-0.000226291,0.0258646,0,0,0.0,0,0,0.0,0.0
30.3,35.0,32.65,0.0,0.0,0.0,0,0,-4658600000.0,0,0,44597300.0,29106100.0
36.8,36.8,36.8,0.0,0.0,0.0,0,0,287050000.0,0,0,2795810.0,1721420.0
35.6,40.0,37.8,-5815460.0,-1.12352e-06,0.000128457,0,0,-1245690000.0,0,0,19074300.0,12041600.0
40.1,43.7,41.9,-58950900.0,-1.22148e-05,0.00132441,0,0,-126274000.0,0,0,3236580.0,1982800.0
46.5,46.5,46.5,0.0,0.0,0.0,0,0,58912200.0,0,0,844715.0,520445.0
45.3,49.9,47.6,-197061000.0,-1.56248e-05,0.00169281,0,0,-971259000.0,0,0,10877600.0,7120620.0
50.0,55.0,52.5,-419500000.0,-4.59222e-05,0.00497529,0,0,-474330000.0,0,0,4085020.0,2446300.0
55.4,55.4,55.4,-79756200.0,-2.02404e-05,0.00219429,0,0,0.0,0,0,0.0,0.0
58.4,58.4,58.4,-2405030000.0,-0.000153646,0.0175754,0,0,0.0,0,0,0.0,0.0
55.4,60.0,57.7,-1465200000.0,-0.000121468,0.013172,0,0,0.0,0,0,0.0,0.0
61.0,61.0,61.0,0.0,0.0,0.0,0,0,-241248000.0,0,0,5224890.0,2801060.0
63.0,63.0,63.0,-335139000.0,-6.93489e-05,0.00793148,0,0,0.0,0,0,0.0,0.0
61.0,64.4,62.7,-240644000.0,-5.17453e-05,0.00560413,0,0,-176203000.0,0,0,3643300.0,2325760.0
65.0,70.0,67.5,-127309000.0,-1.53872e-05,0.0016669,0,0,48665000.0,0,0,331301.0,189074.0
70.3,70.3,70.3,-23382800.0,-1.34285e-05,0.00145501,0,0,0.0,0,0,0.0,0.0
70.1,75.0,72.55,-65902400.0,-1.03395e-05,0.00112001,0,0,0.0,0,0,0.0,0.0
76.5,76.5,76.5,-97018200.0,-1.18974e-05,0.0012886,0,0,0.0,0,0,0.0,0.0
77.0,77.0,77.0,0.0,0.0,0.0,0,0,-33993900.0,0,0,1759600.0,1127210.0
78.8,79.0,78.9,-144845000.0,-3.41107e-05,0.00390139,0,0,0.0,0,0,0.0,0.0
75.0,80.0,77.5,-403358000.0,-4.75313e-05,0.00514938,0,0,-60595800.0,0,0,2876510.0,1846370.0
80.1,85.0,82.55,-1911430000.0,-0.000152671,0.0165404,0,0,0.0,0,0,0.0,0.0
85.1,90.0,87.55,-6502130000.0,-0.000412484,0.0471572,0,0,0.0,0,0,0.0,0.0
90.1,95.0,92.55,-5462440000.0,-0.000364619,0.0416639,0,0,0.0,0,0,0.0,0.0
97.7,97.7,97.7,-3429460000.0,-0.00038676,0.041892,0,0,0.0,0,0,0.0,0.0
95.1,100.0,97.55,-1160910000.0,-0.000121071,0.0131176,0,0,0.0,0,0,0.0,0.0
102.6,102.6,102.6,-8493290000.0,-0.00053846,0.0615978,0,0,0.0,0,0,0.0,0.0
103.2,103.2,103.2,-5709320000.0,-0.000374521,0.0405749,0,0,0.0,0,0,0.0,0.0
100.1,105.0,102.55,-4289910000.0,-0.000302346,0.0327477,0,0,0.0,0,0,0.0,0.0
