lband,uband,center,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
25.6,25.6,25.6,-30354400.0,-1.74375e-05,0.00188883,0,0,0.0,0,0,0.0,0.0
28.4,28.4,28.4,0.0,0.0,0.0,0,0,-1874250000.0,0,0,16044100.0,9436400.0
30.3,30.3,30.3,0.0,0.0,0.0,0,0,-1058220000.0,0,0,10070500.0,7176960.0
30.4,30.4,30.4,213752000.0,-0.000226291,0.0258646,0,0,0.0,0,0,0.0,0.0
36.8,36.8,36.8,0.0,0.0,0.0,0,0,287050000.0,0,0,2795810.0,1721420.0
46.5,46.5,46.5,0.0,0.0,0.0,0,0,58912200.0,0,0,844715.0,520445.0
55.4,55.4,55.4,-79756200.0,-2.02404e-05,0.00219429,0,0,0.0,0,0,0.0,0.0
58.4,58.4,58.4,-2405030000.0,-0.000153646,0.0175754,0,0,0.0,0,0,0.0,0.0
61.0,61.0,61.0,0.0,0.0,0.0,0,0,-241248000.0,0,0,5224890.0,2801060.0
63.0,63.0,63.0,-335139000.0,-6.93489e-05,0.00793148,0,0,0.0,0,0,0.0,0.0
70.3,70.3,70.3,-23382800.0,-1.34285e-05,0.00145501,0,0,0.0,0,0,0.0,0.0
76.5,76.5,76.5,-97018200.0,-1.18974e-05,0.0012886,0,0,0.0,0,0,0.0,0.0
77.0,77.0,77.0,0.0,0.0,0.0,0,0,-33993900.0,0,0,1759600.0,1127210.0
97.7,97.7,97.7,-3429460000.0,-0.00038676,0.041892,0,0,0.0,0,0,0.0,0.0
102.6,102.6,102.6,-8493290000.0,-0.00053846,0.0615978,0,0,0.0,0,0,0.0,0.0
103.2,103.2,103.2,-5709320000.0,-0.000374521,0.0405749,0,0,0.0,0,0,0.0,0.0
