lband,uband,center,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
1.8,3.0,2.4,0.0,0.0,0.0,0.0,0.0,-34131800.0,0.0,0.0,313454.0,203595.0
3.1,5.0,4.05,-10935500.0,-7.94382e-07,9.08989e-5,0,0,-60971800.0,0,0,550330.0,357449
5.1,10.0,7.55,-263824000.0,-1.91867e-05,0.00219300,0,0,-201169000.0,0,0,3593840.0,2.32841e6
10.1,15.0,12.55,-104138000.0,-8.22424e-06,0.000891052,0,0,-210080.0,0,0,634184.0,409793.
15.1,20.0,17.55,-174864000.0,-1.80512e-05,0.00206329.,0,0,-850452000.0,0,0,21598300.0,1.39840e7
20.1,25.0,22.55,-203915000.0,-2.09982e-05,0.00240001.,0,0,-1896260000.0,0,0,20285500.0,1.31572e7
25.6,25.6,25.6,13884200.0,-1.46978e-05,0.00168003,0,0,0.0,0,0,0.0,0
28.4,28.4,28.4,0.0,0.0,0,0,0,-1596760000.0,0,0,16044100.0,9.43640e6
25.1,30.0,27.55,-77134300.0,-1.50827e-05,0.00172379.,0,0,-3821020000.0,0,0,34814500.0,2.27244e7
30.3,30.3,30.3,0.0,0.0,0,0,0,-1058220000.0,0,0,10070500.0,7.17696e6
30.4,30.4,30.4,213752000.0,-0.000226291,0.0258646,0,0,0.0,0,0,0.0,0
30.1,35.0,32.55,0.0,0.0,0,0,0,-4658600000.0,0,0,44597300.0,2.91061e7
36.8,36.8,36.8,0.0,0.0,0,0,0,287050000.0,0,0,2795810.0,1.72142e6
35.1,40.0,37.55,-5815410.0,-1.12337e-06,0.000128456,0,0,-1120330000.0,0,0,17202400.0,1.10261e7
40.1,45.0,42.55,-58950200.0,-1.22128e-05,0.00132439,0,0,-106976000.0,0,0,2808600.0,1.75990e6
46.5,46.5,46.5,0.0,0.0,0,0,0,58912200.0,0,0,844715.0,520445.
45.1,50.0,47.55,-197061000.0,-1.56238e-05,0.00169281,0,0,-634740000.0,0,0,7168430.0,4.6395e6
50.1,55.0,52.55,-419715000.0,-4.59571e-05,0.00497787,0,0,-371313000.0,0,0,3559290.0,2.21819e6
55.4,55.4,55.4,-79754800.0,-2.02374e-05,0.00219424,0,0,0.0,0,0,0.0,0
58.4,58.4,58.4,-2404950000.0,-0.000153653,0.0175749,0,0,0.0,0,0,0.0,0
55.1,60.0,57.55,-1465160000.0,-0.000121477,0.0131716,0,0,0.0,0,0,0.0,0
61.0,61.0,61.0,0.0,0.0,0,0,0,-241248000.0,0,0,5224890.0,2.80106e6
63.0,63.0,63.0,-335132000.0,-6.9345e-05,0.00793129,0,0,0.0,0,0,0.0,0
60.1,65.0,62.55,-240639000.0,-5.17362e-05,0.00560399,0,0,-176203000.0,0,0,3643300.0,2.32576e6
65.1,70.0,67.55,-127308000.0,-1.53857e-05,0.00166689,0,0,48665000.0,0,0,3.31301,1.89074
70.3,70.3,70.3,-23382400.0,-1.34269e-05,0.00145498,0,0,0.0,0,0,0.0,0
70.1,75.0,72.55,-65905500.0,-1.03401e-05,0.00112006,0,0,0.0,0,0,0.0,0
76.5,76.5,76.5,-97016600.0,-1.18976e-05,0.00128858,0,0,0.0,0,0,0.0,0
77.0,77.0,77.0,0.0,0.0,0,0,0,-33993900.0,0,0,1759600.0,1.12721e+06
78.8,79.0,78.9,-144843000.0,-3.41136e-05,0.00390135,0,0,0.0,0,0,0.0,0
75.1,80.0,77.55,-403383000.0,-4.75317e-05,0.00514966,0,0,-46368100.0,0,0,2188180.0,1.39238e+06
80.1,85.0,82.55,-1911950000.0,-0.000152746,0.0165448,0,0,0.0,0,0,0.0,0
85.1,90.0,87.55,-6502130000.0,-0.00041249,0.0471572,0,0,0.0,0,0,0.0,0
90.1,95.0,92.55,-5463840000.0,-0.000364589,0.0416744,0,0,0.0,0,0,0.0,0
97.7,97.7,97.7,-2789480000.0,-0.000314466,0.0340743,0,0,0.0,0,0,0.0,0
95.1,100.0,97.55,-1161400000.0,-0.00012115,0.0131232,0,0,0.0,0,0,0.0,0
102.6,102.6,102.6,-4357720000.0,-0.000276365,0.0316046,0,0,0.0,0,0,0.0,0
103.2,103.2,103.2,-5709130000.0,-0.000374537,0.0405736,0,0,0.0,0,0,0.0,0
100.1,105.0,102.55,-4291150000.0,-0.000302415,0.0327572,0,0,0.0,0,0,0.0,0
